mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
687100	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	14	2	8	4
689585	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	11	4	4	3
691871	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	20	5	9	6
694256	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	18	3	6	9
696391	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	12	1	6	5
697691	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	11	4	5	2
699262	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	19	5	8	6
701678	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	10	3	4	3
704547	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	16	6	5	5
706010	STOP	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	n/a	n/a	n/a	n/a
708767	REC_START	n/a	LTP269	ltpFR2	12	4	n/a	n/a	n/a	n/a	0	0	0
712575	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	FRIAR	605	n/a	n/a	0	0	0
713417	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	ROBBER	1197	n/a	n/a	0	0	0
715285	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	STATUE	1374	n/a	n/a	0	0	0
715919	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	SCULPTURE	1258	n/a	n/a	0	0	0
716986	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	OX	994	n/a	n/a	0	0	0
721954	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	WORKER	1621	n/a	n/a	0	0	0
722549	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	LOFT	840	n/a	n/a	0	0	0
724532	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	BLUEPRINT	142	n/a	n/a	0	0	0
799186	DISTRACTOR	n/a	LTP269	ltpFR2	12	5	n/a	n/a	n/a	n/a	0	0	0
799186	START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	n/a	n/a	n/a	n/a
799201	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	14	4	4	6
800757	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	24	9	6	9
803845	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	17	9	5	3
