name	x	y	z
E106	0.013143084943294525	0.04099927461843922	0.14263023242103384
E107	0.06774456799030304	-0.021194602330023987	-0.0012263998770329632
E108	0.07963243126869202	-0.007003887665081164	0.051094807508429624
E109	0.07991139590740204	0.01736732897466408	0.07772496034244403
E110	0.06891068071126938	0.03643966742918585	0.10320111813377922
E111	0.050758522003889084	0.05106364494517317	0.11799615742743227
E112	0.025591395795345306	0.05817301818547068	0.1311930868613394
E113	0.06810623407363892	0.008751490389917745	-0.010139825143514775
E114	0.07362180203199387	0.021868516161505182	0.015274642578105443
E115	0.07751099765300751	0.021447139717348032	0.04432158250154349
E116	0.07282861322164536	0.048815882675370764	0.07638337213437899
E117	0.05870258808135986	0.06433330092831044	0.09801445607443324
E118	0.039897702634334564	0.07597967610608208	0.11061977106616241
E119	0.06361184269189835	0.025069090422862095	-0.0326778477126011
E120	0.06980004906654358	0.03131364381474139	-0.004481259632086981
E121	0.06972553580999374	0.04687204062969518	0.01393263769332087
E122	0.06790149956941605	0.056803873283267484	0.045025050260628946
E123	0.059740785509347916	0.07545720836615946	0.07701853365773706
E124	0.04640933871269226	0.08338094677871617	0.09246958138199515
E125	0.06478799879550934	0.054838046907348524	0.001350306411174479
E126	n/a	n/a	n/a
E127	n/a	n/a	n/a
E128	-0.06656060367822647	0.05076318814450162	0.0018293135260176174
Cz	0.0016897234600037336	0.031443750007934285	0.15146453643779448
